Mineral,Category,Group,Formula,IMA status,Crystal system,Crystal class,Space group,Color,Crystal habit,Twinning,Cleavage,Fracture,Mohs scale,Luster,Streak,Diaphaneity,Specific gravity,Optical properties,Refractive index,Birefringence,Paleochroism,Melting point,Solubility,Common impurities,Other characteristics
Abellaite,Carbonate mineral,P31c(no. 159),NaPb2(CO3)2(OH),Unknown,Hexagonal,6mm - Dihexagonal-pyramidal,Unknown,colorless to white,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Abelsonite,Organic minerals,P1(No. 2)[3],C31H32N4Ni[1],Unknown,Triclinic,Unknown,Unknown,"Pink-purple, dark greyish purple, pale purplish red, reddish brown",Unknown,Unknown,Probable on {111}[1],Fragile[4],2–3,"Adamantine, sub-metallic",Pink,Semitransparent[1],1.45,Biaxial[1],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Abenakiite-(Ce),"Silicate,cyclosilicate",R3,Na26Ce6(SiO3)6(PO4)6(CO3)6(S4+O2)O,Unknown,Trigonal,Rhombohedral (3)H-M symbol: (3),Unknown,Unknown,Euhedral Crystals - Occurs as well-formed crystals showing good external form.[2],Unknown,"{0001}, poor",Conchoidal,4–5,Vitreous,White,Transparent[2],3.32 gm/cc.,Uniaxial (−),"nω=1.59, nε=1.57",Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Abernathyite,Arsenate minerals,P4/ncc[3][4],K(UO2)(AsO4)·3H2O[1],Unknown,Tetragonal,Ditetragonal dipyramidal (4/mmm)H-M symbol: (4/m 2/m 2/m),Unknown,Yellow,Unknown,Unknown,Perfect on {001},Unknown,2.5–3,"Sub-Vitreous, resinous, waxy, greasy",Pale yellow,Transparent,3.32 (measured) 3.572 (calculated),Uniaxial (−),nω= 1.597 – 1.608nε= 1.570,δ = 0.027 – 0.038,Weak,Unknown,Unknown,Unknown,Radioactive
Abhurite,Halide mineral,R3 2,Sn21O6(OH)14Cl16,Unknown,Trigonal,Trapezohedral (32)H-M symbol: (32),Unknown,Colorless/Pale yellow-greenish,"Platy, thin crystals, cryptocrystalline crusts",On 0001,None,Hackly,2,Unknown,White,Transparent,4.42,Uniaxial (+),nω= 2.060 nε= 2.110,δ = 0.050,Unknown,Unknown,Unknown,Unknown,opalescent
Abramovite,Sulfidesandsulfosalts,P1,"1,066.44 g/mol",Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Silver gray,Encrustations – Forms crust-like aggregates on matrix,Lamellaron {100},Perfect on {100},Unknown,Unknown,Metallic,Black,Opaque,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Abswurmbachite,Nesosilicate,Unknown,"(Cu,Mn2+)Mn3+6O8SiO4",Unknown,Tetragonal,4/mmm – Ditetragonal dipyramidal,Unknown,Black,Unknown,Unknown,None observed,Unknown,6.5,Metallic,Brownish black,Unknown,4.96 g/cm3,Unknown,Unknown,Unknown,Non-pleochroic,Unknown,Unknown,Iron,Unknown
Abuite,Phosphate minerals,Unknown,321.98[2],Unknown,Orthorhombic,P212121,Unknown,Colorless,Unknown,Unknown,Unknown,Unknown,Unknown,Vitreous,White,Transparent,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Acanthite,Sulfide mineral,P21/n,Ag2S,Unknown,Monoclinic[2],Prismatic (2/m)(sameH-M symbol),Unknown,Iron-black,"Primary crystals rare, prismatic to long prismatic, elongated along [001], may be tubular; massive. Commonly paramorphic after the cubic high-temperature phase (""argentite""), of original cubic or octahedral habit","Polysynthetic on {111}, may be very complex due to inversion; contact on {101}",Indistinct,Uneven,2.0–2.5,Metallic,Black,Opaque,7.20–7.22,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Acetamide,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Achalaite,Minerals,Unknown,"(Fe2+,Mn)(Ti,Fe3+,Ta)(Nb,Ta)2O8",Unknown,Monoclinic,Unknown,Unknown,Black,fibrous,Unknown,Unknown,Unknown,5.5,metallic,black,Unknown,6.285,Unknown,Unknown,Unknown,Non-pleochroic,Unknown,Unknown,Unknown,Unknown
Achávalite,Selenide mineral,P63/mmc,134.81 g/mol,Unknown,Hexagonal,Dihexagonal dipyramidal (6/mmm)H-M symbol: (6/m 2/m 2/m),Unknown,Dark grey,Unknown,Unknown,Unknown,Unknown,2.5,Metallic,Grey-black,Opaque,6.53,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Actinolite,Inosilicates,C2/m,Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"pale to dark green, yellowish green, blue and black. White or grey when in asbestos","bladed, fibrous, radial",simple or lamellar,perfect along {110}.,uneven,5–6,vitreous,white,translucent to transparent,"3.00 (+0.10, -0.05)",Biaxial (−),nα= 1.613–1.628nβ= 1.627–1.644nγ= 1.638–1.655,0.0250–0.0270,"moderate, yellow to dark green (in stones that are transparent)",Unknown,Unknown,Unknown,Unknown
Acuminite,Halide mineral,C2/c,SrAlF4OH·(H2O),Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,White,Clusters of acute dipyramidal Spearhead shaped crystals,Contact on {100},Perfect on {001},Unknown,3.5,Vitreous,Unknown,Transparent,3.295,Biaxial (+),nα= 1.451 nβ= 1.453 nγ= 1.462 - 1.463,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Adamite,Arsenate mineral,Pnnm,Zn2AsO4OH,Unknown,Orthorhombic,Dipyramidal (mmm)H–M symbol: (2/m 2/m 2/m),Unknown,"Pale yellow, honey-yellow, brownish yellow, reddish; rarely white, colorless, blue, pale green to green, may be zoned",Wedge-like prisms typically in druses and radiating clusters; also smooth botryoidal masses,Unknown,"{101}, good; {010}, poor",Uneven to subconchoidal,3.5,Vitreous,White to pale green,Unknown,4.32–4.48 measured,Biaxial (+/−),"nα=1.708 – 1.722, nβ=1.742 – 1.744, nγ=1.763 – 1.773",δ = 0.055,Unknown,Unknown,Unknown,Unknown,May fluoresce and phosphoresce lemon-yellow under SW and LW UV.
Adamsite-(Y),Minerals,P1,NaY(CO3)2·6H2O,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Adelite,Adelite-descloizite group,P212121,CaMg(AsO4)(OH),Unknown,Orthorhombic,2 2 2 – Disphenoidal,Unknown,"Colourless, white, grey, bluish grey, yellowish grey, yellow, pale green, pinkish brown, brown","Elongate crystals, massive",Unknown,None observed,Unknown,5,"Vitreous, greasy",Unknown,"Transparent, translucent",3.73 to 3.79,"Biaxial (+), colorless (transmitted light)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Admontite,Nesoborates,P21/c,MgB6O10·7H2O[1]orMgB6O7(OH)6·4H2O[2],Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,colorless,Unknown,Unknown,Absent,"Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz)",2 - 3 - Gypsum-Calcite,Unknown,White,Unknown,Unknown,Biaxial (−),nα= 1.442 nγ= 1.504,δ = 0.062,Unknown,Unknown,Unknown,Unknown,Unknown
Adranosite,ammonium sulfate chloride,Unknown,(NH4)4NaAl2(SO4)4Cl(OH)2,Unknown,Tetragonal,Ditetragonal Dipyramidal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aegirine,"Silicate mineral,pyroxene",C2/c,231.00 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Dark Green, Greenish Black","Prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions",Simple and lamellar twinning common on {100},"Good on {110}, (110) ^ (110) ≈87°; parting on {100}",Uneven,6,Vitreousto slightly resinous,Yellowish-grey,Translucenttoopaque,3.50–3.60,Biaxial (−),nα= 1.720 – 1.778 nβ= 1.740 – 1.819 nγ= 1.757 – 1.839,δ = 0.037 – 0.061,"X = emerald green, deep green; Y = grass-green, deep green, yellow; Z = brownish green, green, yellowish brown, yellow",Unknown,Unknown,Unknown,Unknown
Aegirine-augite,"Silicate mineral,pyroxene",C2/c,231.00 g/mol,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Dark Green, Greenish Black","Prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions",Simple and lamellar twinning common on {100},"Good on {110}, (110) ^ (110) ≈87°; parting on {100}",Uneven,6,Vitreousto slightly resinous,Yellowish-grey,Translucenttoopaque,3.50–3.60,Biaxial (−),nα= 1.720 – 1.778 nβ= 1.740 – 1.819 nγ= 1.757 – 1.839,δ = 0.037 – 0.061,"X = emerald green, deep green; Y = grass-green, deep green, yellow; Z = brownish green, green, yellowish brown, yellow",Unknown,Unknown,Unknown,Unknown
Aenigmatite,Inosilicates,P1,Na2Fe2+5TiSi6O20,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Velvet-black,"Poorly developed prismatic crystals, occurring as irregular clusters; pseudomonoclinic",Complex by rotation perpendicular to (011) or about [010] of the pseudomonoclinic cell; polysynthetic,Good on {010} and {100},Uneven,5.5,Vitreous to greasy,Reddish brown,Translucent to opaque,3.81,Biaxial (+),nα= 1.780 – 1.800 nβ= 1.800 – 1.820 nγ= 1.870 – 1.900,δ = 0.090 – 0.100,X = yellow brown; Y = red-brown; Z = dark brown to black,Unknown,Unknown,Unknown,Unknown
Aerinite,Inosilicates,P3c1,"Ca4(Al,Fe,Mg)10Si12O35(OH)12CO3·12H2O",Unknown,Trigonal,Unknown,Unknown,Blue to blue-green,fibrous,Unknown,Unknown,Unknown,3,vitreous,bluish white,translucent,2.48,Biaxial (−),"nα1.510(5), nβ= 1.560(5), nγ= 1.580",Unknown,Intense; X = bright blue; Y = Z = pale beige,Unknown,Unknown,Unknown,Unknown
Aerugite,Arsenate minerals,R3m,Ni9(AsO4)2AsO6,Unknown,Trigonal,Hexagonal scalenohedral (3m)H-M symbol: (32/m),Unknown,"Grass green, blue-green",Massive to crystalline crusts,Unknown,Unknown,Unknown,4,Adamantine,"light green, greenish white",Opaque to semitransparent,5.85–5.95,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aeschynite-(Ce),Oxide minerals,H-M symbol: (2/m 2/m 2/m)Space group:Pmnb,305.70 g/mol,Unknown,OrthorhombicDipyramidal class,Unknown,Unknown,"Brown, light brown, brownish black, yellow, black","Acicular, massive",Unknown,None,Brittle-conchoidal,5 - 6,"Adamantine, resinous towaxy, sub-metallic; dull when altered",Nearly black to brown,Transparent to translucent,4.52,Isotropic when metamict,2.26,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Aeschynite-(Nd),Minerals,Unknown,346.61 gm,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Dark to pale brown, brownish black",Metamict,Unknown,Unknown,Conchoidal,5 – 6,Adamantine,Pale yellowish brown,Subtranslucent,4.60 – 5.04,2.1 – 2.4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aeschynite-(Y),Oxide mineral,Pmnb,"(Y,Ca,Fe,Th)(Ti,Nb)2(O,OH)6",Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Afghanite,Tectosilicateminerals,P3c1[2],"(Na,K)22Ca10[Si24Al24O96](SO4)6Cl6",Unknown,Trigonal,Ditrigonal pyramidalH-M symbol: (3m),Unknown,"light blue, dark blue","elongated, bullet-like crystals with pointed ends",Unknown,Perfect {1010},Conchoidal,5.5–6,Vitreous,white,Transparent,2.55–2.65,Uniaxial (+),nω= 1.523 nε= 1.529,δ = 0.006,Unknown,Unknown,Unknown,Unknown,Radioactive2.28% (K)
Afmite,Minerals,Unknown,Al3(OH)4(PO4)(PO3OH)·H2O,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Afwillite,Nesosilicates,Cc,Ca3(SiO3OH)2·2H2O,Unknown,Monoclinic,Domatic (m)(sameH-M symbol),Unknown,"Colorless, white","Prismatic (striated), tabular, radial fibrous, massive",Unknown,"Perfect along [101], good along [100]",Conchoidal,3–4,Vitreous,White,Transparent to translucent,2.630,Biaxial (+),nα= 1.617 nβ= 1.620 nγ= 1.634,δ = 0.0167,Unknown,Unknown,Unknown,Unknown,Piezoelectric
Agardite,Arsenate minerals,P63/m(agardite-(La): unknown space group),"(REE,Ca)Cu6(AsO4)3(OH)6·3H2O",Unknown,Hexagonal,Dipyramidal (6/m)H–M symbol: (6/m),Unknown,Yellow green,Acicular,Unknown,None,Conchoidal,3–4,Vitreous,Greenish white,Unknown,"3.7 (measured), 3.775 (calculated)",Unknown,"nω= 1.725,nε= 1.81",0.085,Yellowish green,Unknown,Unknown,Unknown,Unknown
Agate,Tectosilicateminerals,Quartzgroup,SiO2(silicon dioxide),Varietyof quartz (chalcedony),Trigonal(quartz) ormonoclinic(moganite),Unknown,Unknown,"Often multicolored; commonly colorless, pale blue to black, red to orange, yellow, white, brown, pink, purple; rarely green",Cryptocrystallinesilica,Unknown,None,Conchoidal,6.5–7,"Waxy, vitreous when polished",White,Transparent to opaque (usually translucent),2.60–2.64,Uniaxial (+),1.530-1.543,Up to 0.004,Absent,Unknown,Unknown,Unknown,Unknown
Agrellite,Inosilicates,P1,NaCa2Si4O10F,Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,"White, grayish-white, greenish-white","Lath - shaped like a small, thin plaster lath, rectangular in shape",Unknown,perfect [110],Unknown,5.5,pearly,white,translucent,2.88,biaxial,nα = 1.567 nβ = 1.579 nγ = 1.581,δ = 0.014,Unknown,Unknown,Unknown,Unknown,Unknown
Agrinierite,Minerals,Unknown,"K2(Ca,Sr)[(UO2)3O3(OH)2]2 · 5H2O",Unknown,monoclinic[2],Unknown,Unknown,Orange,Pseudo Hexagonal - Crystals show a hexagonal outline.,Sector twins with composition plane {110},"Distinct/Good
on {001}",Unknown,Unknown,Resinous - Greasy,Unknown,"Transparent, Translucent",5.7[3],Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Radioactive
Aguilarite,Sulfosalt minerals,P21/n[2],Ag4SeS,Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol)[2],Unknown,Bright lead-gray on fresh surfaces; dull iron-black on exposure to air.,Unknown,Unknown,None observed,Hackly,2.5[3]1–1.5[2],Metallic,Gray-black,Opaque,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aheylite,Phosphate minerals,Unknown,"(Fe2+,Zn)Al6(OH)8(PO4)4·4(H2O)",Unknown,TriclinicUnknown space group,Unknown,Unknown,"Very pale blue, pale green, to blue-green","Interlocked crystals in felted and matted aggregates forming botryoidal, spherulitic masses; radiating, prismatic groups",Unknown,"Perfect {001}, {010} good",Hackly to splintery,5 to 5.5,Porcelaneous to subvitreous,White to greenish white,Transparent in thin flakes,2.84,Biaxial (+),~1.63,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ahlfeldite,Selenite mineral,P21/m,"(Ni,Co)SeO3·2H2O",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Aikinite,Sulfide mineral,Pnma,575.92 g/mol,Unknown,Orthorhombic,Dipyramidal (mmm)H-M symbol: (2/m 2/m 2/m),Unknown,"Lead gray, grayish black, reddish brown","Acicular, massive",Unknown,{010} indistinct,Unknown,2–2.5,Metallic,Grayish black,Opaque,"6.1–6.8, Average = 6.44",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not radioactive
Aiolosite,Minerals,Unknown,Na4Bi(SO4)3Cl,Unknown,Unknown,Unknown,Unknown,Colourless to white,Unknown,Unknown,Unknown,Unknown,Unknown,Vitreous,White,Translucent,3.589,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Ajoite,Phyllosilicateminerals,P1,"(Na,K)Cu7AlSi9O24(OH)6·3H2O",Unknown,Triclinic,Pinacoidal (1)(sameH-M symbol),Unknown,Bluish green,Sprays of bladed prismatic crystals,Unknown,Perfect on {010},Unknown,3+1⁄2[2],Vitreous,Greenish white,Translucent,2.96,Biaxial (+),"nα= 1.550, nβ= 1.583, nγ= 1.641",δ = 0.091,X: very light bluish green; Y and Z: brilliant bluish green,Unknown,Decomposed by acids,Unknown,Unknown
Akaganéite,Oxide mineral,I2/m,"Fe3+O(OH,Cl)",Unknown,Monoclinic,Prismatic (2/m)(sameH-M symbol),Unknown,"Yellowish brown, rusty brown",Unknown,Unknown,Unknown,Unknown,Unknown,Earthy,Brownish yellow,"Transparent, translucent",3.52,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Akaogiite,Minerals,Unknown,(TiO2),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Akatoreite,Minerals,Unknown,"((Mn2+,Fe2+)9Al2[(OH)3|HSi4O13])",Unknown,Unknown,Unknown,Unknown,Yellow-orange to orange-brown,Unknown,Unknown,Unknown,Unknown,6,Vitreous,yellowish white,Transparent,3.48,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
